Epoch,Training Loss,Validation Loss
0,10.9151,10.9242
250,5.8106,5.8366
500,5.2588,5.316
750,5.013,5.0656
1000,4.8388,4.8885
1250,4.6929,4.7483
1500,4.5848,4.6614
1750,4.496,4.5811
2000,4.4215,4.5326
2250,4.3402,4.4584
2500,4.2778,4.4318
2750,4.2205,4.3909
3000,4.1708,4.3834
3250,4.1187,4.3494
3500,4.0769,4.3215
3750,4.0318,4.291
4000,3.9837,4.3028
4250,3.9486,4.257
4500,3.9103,4.2363
4750,3.8749,4.2246
5000,3.841,4.209
5250,3.8057,4.197
5500,3.7825,4.199
5750,3.7438,4.2016
6000,3.7172,4.1636
6250,3.6823,4.1636
6500,3.6523,4.1651
6750,3.6203,4.1595
7000,3.5945,4.148
7250,3.5662,4.1429
7500,3.5321,4.1389
7750,3.5135,4.1322
8000,3.4909,4.1338
8250,3.462,4.1315
8500,3.4277,4.1444
8750,3.4058,4.1381
9000,3.375,4.1254
9250,3.355,4.1318
9500,3.3313,4.1382
9750,3.3122,4.1432
10000,3.2886,4.1477
10250,3.2564,4.126
10500,3.2365,4.1438
10750,3.2153,4.1444
11000,3.1803,4.152
11250,3.162,4.1626
11500,3.1246,4.1632
11750,3.1124,4.1657
12000,3.0853,4.1529
12250,3.0663,4.1813
12500,3.0437,4.1828
12750,3.0189,4.18
13000,2.9928,4.1869
13250,2.9675,4.184
13500,2.947,4.2107
